cnae;no_cnae;uf;n_intermitentes
111301;Cultivo de arroz;11;0
111302;Cultivo de milho;11;0
111303;Cultivo de trigo;11;0
111399;Cultivo de outros cereais não especificados anteriormente;11;0
112101;Cultivo de algodão herbáceo;11;0
112102;Cultivo de juta;11;0
112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;11;0
113000;Cultivo de cana-de-açúcar;11;0
114800;Cultivo de fumo;11;0
115600;Cultivo de soja;11;0
116401;Cultivo de amendoim;11;0
116402;Cultivo de girassol;11;0
116403;Cultivo de mamona;11;0
116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;11;0
119901;Cultivo de abacaxi;11;0
119902;Cultivo de alho;11;0
119903;Cultivo de batata-inglesa;11;0
119904;Cultivo de cebola;11;0
119905;Cultivo de feijão;11;0
119906;Cultivo de mandioca;11;0
119907;Cultivo de melão;11;0
119908;Cultivo de melancia;11;0
119909;Cultivo de tomate rasteiro;11;0
119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;11;0
121101;Horticultura, exceto morango;11;0
121102;Cultivo de morango;11;0
122900;Cultivo de flores e plantas ornamentais;11;0
131800;Cultivo de laranja;11;0
132600;Cultivo de uva;11;0
133401;Cultivo de açaí;11;0
133402;Cultivo de banana;11;0
133403;Cultivo de caju;11;0
133404;Cultivo de cítricos, exceto laranja;11;0
133405;Cultivo de coco-da-baía;11;0
133406;Cultivo de guaraná;11;0
133407;Cultivo de maçã;11;0
133408;Cultivo de mamão;11;0
133409;Cultivo de maracujá;11;0
133410;Cultivo de manga;11;0
133411;Cultivo de pêssego;11;0
133499;Cultivo de frutas de lavoura permanente não especificadas anteriormente;11;0
134200;Cultivo de café;11;0
135100;Cultivo de cacau;11;0
139301;Cultivo de chá-da-índia;11;0
139302;Cultivo de erva-mate;11;0
139303;Cultivo de pimenta-do-reino;11;0
139304;Cultivo de plantas para condimento, exceto pimenta-do-reino;11;0
139305;Cultivo de dendê;11;0
139306;Cultivo de seringueira;11;0
139399;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;11;0
141501;Produção de sementes certificadas, exceto de forrageiras para pasto;11;0
141502;Produção de sementes certificadas de forrageiras para formação de pasto;11;0
142300;Produção de mudas e outras formas de propagação vegetal, certificadas;11;0
151201;Criação de bovinos para corte;11;3
151202;Criação de bovinos para leite;11;0
151203;Criação de bovinos, exceto para corte e leite;11;1
152101;Criação de bufalinos;11;0
152102;Criação de eqüinos;11;0
152103;Criação de asininos e muares;11;0
153901;Criação de caprinos;11;0
153902;Criação de ovinos, inclusive para produção de lã;11;0
154700;Criação de suínos;11;0
155501;Criação de frangos para corte;11;0
155502;Produção de pintos de um dia;11;0
155503;Criação de outros galináceos, exceto para corte;11;0
155504;Criação de aves, exceto galináceos;11;0
155505;Produção de ovos;11;0
159801;Apicultura;11;0
159802;Criação de animais de estimação;11;0
159803;Criação de escargô;11;0
159804;Criação de bicho-da-seda;11;0
159899;Criação de outros animais não especificados anteriormente;11;0
161001;Serviço de pulverização e controle de pragas agrícolas;11;0
161002;Serviço de poda de árvores para lavouras;11;0
161003;Serviço de preparação de terreno, cultivo e colheita;11;0
161099;Atividades de apoio à agricultura não especificadas anteriormente;11;0
162801;Serviço de inseminação artificial em animais;11;0
162802;Serviço de tosquiamento de ovinos;11;0
162803;Serviço de manejo de animais;11;0
162899;Atividades de apoio à pecuária não especificadas anteriormente;11;0
163600;Atividades de pós-colheita;11;0
170900;Caça e serviços relacionados;11;0
210101;Cultivo de eucalipto;11;0
210102;Cultivo de acácia-negra;11;0
210103;Cultivo de pinus;11;0
210104;Cultivo de teca;11;0
210105;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;11;0
210106;Cultivo de mudas em viveiros florestais;11;0
210107;Extração de madeira em florestas plantadas;11;0
210108;Produção de carvão vegetal - florestas plantadas;11;0
210109;Produção de casca de acácia-negra - florestas plantadas;11;0
210199;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;11;0
220901;Extração de madeira em florestas nativas;11;0
220902;Produção de carvão vegetal - florestas nativas;11;0
220903;Coleta de castanha-do-pará em florestas nativas;11;0
220904;Coleta de látex em florestas nativas;11;0
220905;Coleta de palmito em florestas nativas;11;0
220906;Conservação de florestas nativas;11;0
220999;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;11;0
230600;Atividades de apoio à produção florestal;11;10
311601;Pesca de peixes em água salgada;11;0
311602;Pesca de crustáceos e moluscos em água salgada;11;0
311603;Coleta de outros produtos marinhos;11;0
311604;Atividades de apoio à pesca em água salgada;11;0
312401;Pesca de peixes em água doce;11;0
312402;Pesca de crustáceos e moluscos em água doce;11;0
312403;Coleta de outros produtos aquáticos de água doce;11;0
312404;Atividades de apoio à pesca em água doce;11;0
321301;Criação de peixes em água salgada e salobra;11;0
321302;Criação de camarões em água salgada e salobra;11;0
321303;Criação de ostras e mexilhões em água salgada e salobra;11;0
321304;Criação de peixes ornamentais em água salgada e salobra;11;0
321305;Atividades de apoio à aqüicultura em água salgada e salobra;11;0
321399;Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;11;0
322101;Criação de peixes em água doce;11;0
322102;Criação de camarões em água doce;11;0
322103;Criação de ostras e mexilhões em água doce;11;0
322104;Criação de peixes ornamentais em água doce;11;0
322105;Ranicultura;11;0
322106;Criação de jacaré;11;0
322107;Atividades de apoio à aqüicultura em água doce;11;0
322199;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;11;0
500301;Extração de carvão mineral;11;0
500302;Beneficiamento de carvão mineral;11;0
600001;Extração de petróleo e gás natural;11;0
600002;Extração e beneficiamento de xisto;11;0
600003;Extração e beneficiamento de areias betuminosas;11;0
710301;Extração de minério de ferro;11;0
710302;Pelotização, sinterização e outros beneficiamentos de minério de ferro;11;0
721901;Extração de minério de alumínio;11;0
721902;Beneficiamento de minério de alumínio;11;0
722701;Extração de minério de estanho;11;0
722702;Beneficiamento de minério de estanho;11;0
723501;Extração de minério de manganês;11;0
723502;Beneficiamento de minério de manganês;11;0
724301;Extração de minério de metais preciosos;11;0
724302;Beneficiamento de minério de metais preciosos;11;0
725100;Extração de minerais radioativos;11;0
729401;Extração de minérios de nióbio e titânio;11;0
729402;Extração de minério de tungstênio;11;0
729403;Extração de minério de níquel;11;0
729404;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;11;0
729405;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;11;0
810001;Extração de ardósia e beneficiamento associado;11;0
810002;Extração de granito e beneficiamento associado;11;0
810003;Extração de mármore e beneficiamento associado;11;0
810004;Extração de calcário e dolomita e beneficiamento associado;11;0
810005;Extração de gesso e caulim;11;0
810006;Extração de areia, cascalho ou pedregulho e beneficiamento associado;11;0
810007;Extração de argila e beneficiamento associado;11;0
810008;Extração de saibro e beneficiamento associado;11;0
810009;Extração de basalto e beneficiamento associado;11;0
810010;Beneficiamento de gesso e caulim associado à extração;11;0
810099;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;11;0
891600;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;11;0
892401;Extração de sal marinho;11;0
892402;Extração de sal-gema;11;0
892403;Refino e outros tratamentos do sal;11;0
893200;Extração de gemas (pedras preciosas e semipreciosas);11;0
899101;Extração de grafita;11;0
899102;Extração de quartzo;11;0
899103;Extração de amianto;11;0
899199;Extração de outros minerais não-metálicos não especificados anteriormente;11;0
910600;Atividades de apoio à extração de petróleo e gás natural;11;0
990401;Atividades de apoio à extração de minério de ferro;11;0
990402;Atividades de apoio à extração de minerais metálicos não-ferrosos;11;0
990403;Atividades de apoio à extração de minerais não-metálicos;11;0
1011201;Frigorífico - abate de bovinos;11;2
1011202;Frigorífico - abate de eqüinos;11;0
1011203;Frigorífico - abate de ovinos e caprinos;11;0
1011204;Frigorífico - abate de bufalinos;11;0
1011205;Matadouro - abate de reses sob contrato, exceto abate de suínos;11;0
1012101;Abate de aves;11;0
1012102;Abate de pequenos animais;11;0
1012103;Frigorífico - abate de suínos;11;0
1012104;Matadouro - abate de suínos sob contrato;11;0
1013901;Fabricação de produtos de carne;11;0
1013902;Preparação de subprodutos do abate;11;0
1020101;Preservação de peixes, crustáceos e moluscos;11;0
1020102;Fabricação de conservas de peixes, crustáceos e moluscos;11;0
1031700;Fabricação de conservas de frutas;11;0
1032501;Fabricação de conservas de palmito;11;0
1032599;Fabricação de conservas de legumes e outros vegetais, exceto palmito;11;0
1033301;Fabricação de sucos concentrados de frutas, hortaliças e legumes;11;0
1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;11;0
1041400;Fabricação de óleos vegetais em bruto, exceto óleo de milho;11;0
1042200;Fabricação de óleos vegetais refinados, exceto óleo de milho;11;0
1043100;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;11;0
1051100;Preparação do leite;11;0
1052000;Fabricação de laticínios;11;0
1053800;Fabricação de sorvetes e outros gelados comestíveis;11;0
1061901;Beneficiamento de arroz;11;0
1061902;Fabricação de produtos do arroz;11;0
1062700;Moagem de trigo e fabricação de derivados;11;0
1063500;Fabricação de farinha de mandioca e derivados;11;0
1064300;Fabricação de farinha de milho e derivados, exceto óleos de milho;11;0
1065101;Fabricação de amidos e féculas de vegetais;11;0
1065102;Fabricação de óleo de milho em bruto;11;0
1065103;Fabricação de óleo de milho refinado;11;0
1066000;Fabricação de alimentos para animais;11;0
1069400;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;11;0
1071600;Fabricação de açúcar em bruto;11;0
1072401;Fabricação de açúcar de cana refinado;11;0
1072402;Fabricação de açúcar de cereais (dextrose) e de beterraba;11;0
1081301;Beneficiamento de café;11;0
